gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1936359188																										45855dea-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				45855dea-20fe-11e3-9e2e-000c29035824	MA-01-00433805		E. Jiménez & Rivas Goday																					MA-433805-1												1946-03-15				1946	3	15	15031946															Spain	ESP	Almería			Cerro de la Alcazaba																																																		5b5e6b66-4965-4815-ae8d-0875ccd9b7aa						2012-03-01			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
1936358315																										45843c91-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				45843c91-20fe-11e3-9e2e-000c29035824	MA-01-00433688		A. Soler																					MA-433688-1												1973-12-27				1973	12	27	27121973															Spain	ESP	Almería			Cerro de San Cristobal																																																		a714ad02-93db-4646-8be5-f07571b6bd8e						2012-03-01			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
1936357966																										453e35a2-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				453e35a2-20fe-11e3-9e2e-000c29035824	MA-01-00433123		A. Barra & al.																					MA-433123-1												1982-03-06				1982	3	6	06031982	roquedos calizos, laderas margosas														Spain	ESP	Almería			Barranco del Caballar		110											36.8449	-2.4629																																				c8d612d6-5118-409e-9853-8e5c9abf522b						2012-03-01			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
1936357472																										45345140-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				45345140-20fe-11e3-9e2e-000c29035824	MA-01-00432123		F. Pérez Raya																					MA-432123-1												1979-02-15				1979	2	15	15021979	en arenales fijados														Spain	ESP	Almería			Cabo de Gata. Próximo a Torre García													36.7721	-2.3289																																				d1d77486-2022-4a3b-a755-689ff923da45						2012-03-01			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
1936214777																										63c42507-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				63c42507-20fe-11e3-9e2e-000c29035824	MA-01-00805100	17089	Carlos Aedo Pérez																					MA-805100-1												2010-01-05				2010	1	5	5-I-2010	Habitat: claros de espartal sobre suelos arenosos														Spain	ESP	Almería			pr. Retamar, rambla de las Amoladeras													36.82	-2.2494444444																																				e869eef1-9a50-400e-bd21-477dfc35a03b										2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
1936173692																										452d4c3c-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				452d4c3c-20fe-11e3-9e2e-000c29035824	MA-01-00431694		Hª Jerónimo																					MA-431694-1												1931-06-18				1931	6	18	18061931															Spain	ESP	Almería			Cerro de San Cristobal																																																		b515c35d-20fe-11e3-9e2e-000c29035824						2012-03-01			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
1936160732																										43f8bc17-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				43f8bc17-20fe-11e3-9e2e-000c29035824	MA-01-00414387	1069	J. Fernández Casas																					MA-414387-1																																		Spain	ESP	Almería			El Alquián													36.8444	-2.3731																																				1bcb5bd6-4921-4dbb-8b00-9e6be0eb4f37						2012-03-01			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
1936148935																										42b4718d-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				42b4718d-20fe-11e3-9e2e-000c29035824	MA-01-00393955		J. Fernández Casas																					MA-393955-1												1969-12				1969	12		00121969	con suelo arenoso														Spain	ESP	Almería			En plantaciones de Enequen, cerca del Alquian																																																		b50537a5-2234-4ee3-aba8-8b6d7ebda981						2012-03-01			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
1936130902																										40be29dd-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				40be29dd-20fe-11e3-9e2e-000c29035824	MA-01-00372311		A. Soler																					MA-372311-1												1973-12-27				1973	12	27	27121973															Spain	ESP	Almería			Cerro de San Cristobal																																																		ba0a3ccf-fce7-4133-86dd-ca057fb1883f						2012-03-01			Revisado para Flora iberica	2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
1936116713																										3f5684d1-20fe-11e3-9e2e-000c29035824										https://creativecommons.org/licenses/by-nc/4.0/legalcode																				0363cbd4-f666-455e-8e86-0bbddcf51950		834c9918-f762-11e1-a439-00145eb45e9a	MA	MA		MA	PreservedSpecimen				3f5684d1-20fe-11e3-9e2e-000c29035824	MA-01-00349524		Salvador Rivas Goday																					MA-349524-1												1946				1946			00001946															Spain	ESP	Almería			Cerro de la Alcazaba																																																		740b53e1-7295-42ef-9a6b-e5f49a98d4b7						2012-03-01				2740599								Androcymbium europaeum (Lange) K. Richt.								Plantae				Colchicaceae		Androcymbium				europaeum			species		(Lange) K. Richt.					
